light_source,measurement,slope,intercept,focal_point
green-He-Ne,lens-2W-040s,3.0562030671602343,122.0072342675832,-39.92118049307175
green-He-Ne,lens-2W-060s,3.585552617662613,75.16736118455836,-20.96395429097321
green-He-Ne,lens-2W-080s,2.905785298783713,102.89097831835002,-35.40900917952112
green-He-Ne,lens-2W-100s,2.661597038603914,111.81209941829715,-42.009401797706346
green-He-Ne,lens-3W-040s,2.894785827604442,65.4597778952934,-22.61299515531487
green-He-Ne,lens-3W-060s,2.709444738233739,56.169624537281805,-20.731046381812625
green-He-Ne,lens-3W-080s,2.364886303543099,69.97038603913268,-29.587209302325558
green-He-Ne,lens-3W-100s,2.4088841882601804,54.744368059227874,-22.72602739726025
green-He-Ne,lens-3W-120s,2.2249180327868854,69.0577049180327,-31.03831417624517
green-He-Ne,noSample,0.36463246959280604,1103.5813432046539,-3026.558069381616
green-He-Ne,pinhole-200mum,9.56679005817028,37.28820729772598,-3.8976717447542306
red-He-Ne,lens-2W-040s,2.3899101004759387,181.6207932310947,-75.994822229893
red-He-Ne,lens-2W-060s,2.9027604442094126,140.3521523003701,-48.35126942023492
red-He-Ne,lens-2W-080s,3.1249497620306728,110.44404019037538,-35.34266103484684
red-He-Ne,lens-2W-100s,2.657472236911688,127.61146483342142,-48.01986754966884
red-He-Ne,lens-3W-040s,3.5498043363299847,62.37497620306712,-17.571384305523264
red-He-Ne,lens-3W-060s,2.678646218931782,77.56029613960862,-28.955035417308267
red-He-Ne,lens-3W-080s,2.7135695399259654,71.3145214172395,-26.280705310093207
red-He-Ne,lens-3W-100s,2.666821787414067,60.13355896351133,-22.548772942874802
red-He-Ne,noSample,1.1002221047065055,1094.25516657853,-994.576605848537
red-He-Ne,pinhole-200mum,10.772057112638818,79.6919936541512,-7.398029254843893
